"group","animal","auc"
"Naive","LI98",161014235.278353
"Naive","MA19",134532938.663237
"Naive","MA20",65509024.8799852
"Naive","MA25",67144384.6862102
"Naive","MA39",42458069.1423242
"∆GY, before challenge","LJ02",1790180714.59821
"∆GY, before challenge","LJ04",155157179.747024
"∆GY, before challenge","LJ46",73887679.53125
"∆GY, before challenge","LJ47",201999442.592593
"∆GY, before challenge","MA18",38779665.2355685
"∆GY, before challenge","MA23",3643403.05636426
"∆GY, after challenge","LJ02",253290.9375
"∆GY, after challenge","LJ46",6892.28125
"∆GY, after challenge","LJ47",279.8
"∆GY, after challenge","LJ04",1194364.08196076
"∆GY, after challenge","MA18",261777.138234312
"∆GY, after challenge","MA23",70296.5573630181
